,8xcxbyb0,onwfcok3,jnadbgx3,hpx0va2b,5li84sl8,vhy4unb9,q3ebr9y8,o03xhfrj,mywpd3qn,h5zm1w7y,5cc1cxom,0j1b2qv0,pksdxzzz,cubx3it9,5m6njngm,arciq5xu,zh1vjqn5,h53qoypt,4gqq6wul,2d0lojbf
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08235999941825867,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11089999973773956,0.0,0.0,0.0,0.0,0.09568999707698822,0.0,0.0,0.0,0.08235999941825867,0.0
9,0.0,0.0,0.0,0.0,0.0,0.08226999640464783,0.0,0.0,0.0,0.1934400051832199,0.0,0.0,0.0,0.07732000201940536,0.1780499964952469,0.0,0.0,0.0,0.08235999941825867,0.0
10,0.0,0.0,0.0,0.14329999685287476,0.0,0.08226999640464783,0.13718000054359436,0.06481000036001205,0.0,0.29813000559806824,0.0,0.0,0.0,0.07732000201940536,0.31828999519348145,0.0,0.0,0.0,0.08235999941825867,0.0
11,0.0,0.0,0.0,0.19505999982357025,0.0,0.08226999640464783,0.13718000054359436,0.21845999360084534,0.0,0.4068700075149536,0.0,0.0,0.0,0.07732000201940536,0.440530002117157,0.060309998691082,0.1140500009059906,0.0,0.13663999736309052,0.0
12,0.05789000168442726,0.04402000084519386,0.0,0.25106000900268555,0.0,0.08226999640464783,0.17750999331474304,0.2672500014305115,0.05121999979019165,0.4577299952507019,0.0,0.0,0.0,0.12682999670505524,0.534600019454956,0.060309998691082,0.16202999651432037,0.0,0.17967000603675842,0.049240000545978546
13,0.08660999685525894,0.07976000010967255,0.037539999932050705,0.25106000900268555,0.031150000169873238,0.08226999640464783,0.20784999430179596,0.3389100134372711,0.12009000033140182,0.4577299952507019,0.0,0.0,0.0,0.12682999670505524,0.5363100171089172,0.060309998691082,0.16202999651432037,0.0,0.3331499993801117,0.049240000545978546
14,0.1394599974155426,0.07976000010967255,0.037539999932050705,0.27546000480651855,0.05177000164985657,0.10208000242710114,0.2702299952507019,0.39886000752449036,0.12009000033140182,0.4717000126838684,0.0,0.028629999607801437,0.02223999984562397,0.12682999670505524,0.48969000577926636,0.060309998691082,0.16202999651432037,0.0,0.352510005235672,0.12053000181913376
15,0.0658000037074089,0.0,0.0,0.09488999843597412,0.0,0.0,0.0,0.2044299989938736,0.0,0.06915999948978424,0.0,0.0,0.0,0.0,0.36528998613357544,0.04735000059008598,0.0,0.0,0.08506999909877777,0.0
16,0.0658000037074089,0.0,0.0,0.09488999843597412,0.0,0.0,0.0,0.2044299989938736,0.0,0.27184000611305237,0.0,0.0,0.0,0.0,0.2812199890613556,0.22529999911785126,0.0,0.0,0.16725000739097595,0.0
17,0.0658000037074089,0.0800200030207634,0.0,0.14365999400615692,0.07750000059604645,0.15473000705242157,0.0954200029373169,0.2044299989938736,0.08128000050783157,0.3239699900150299,0.0,0.07938999682664871,0.0,0.0,0.28696998953819275,0.314410001039505,0.0,0.0,0.38291001319885254,0.0
18,0.1282700002193451,0.0800200030207634,0.07111000269651413,0.21188999712467194,0.07750000059604645,0.282370001077652,0.16742999851703644,0.16446000337600708,0.08128000050783157,0.3856300115585327,0.0,0.10324999690055847,0.0,0.0,0.23277999460697174,0.314410001039505,0.06202000007033348,0.0,0.5843600034713745,0.0629199966788292
