,kaagm47x,04wn55ux,uj21ts7a,s0arev3i,phzxn70t,o8xapp18,fux45xkt,34hj0jpn,dcmh4m19,firib2e8,nl8r7wzd,h0jje5yn,xx2oslpu,1p9hrhke,vojqp3yu,upl4sjkv,h6kwqege,ac3x37r0,2ulxxriq,1j94tuie
7,0.10206250101327896,0.017893750220537186,0.27682942152023315,0.12480588257312775,0.12102500349283218,0.0,0.07353749871253967,0.17282940447330475,0.07596249878406525,0.12113124877214432,0.09001874923706055,0.12090624868869781,0.1271124929189682,0.29875001311302185,0.11753124743700027,0.16523750126361847,0.10893125087022781,0.1953437477350235,0.2363000065088272,0.009343749843537807
8,0.10206250101327896,0.017893750220537186,0.27682942152023315,0.12480588257312775,0.12102500349283218,0.0,0.07353749871253967,0.17723333835601807,0.12354117631912231,0.1694941222667694,0.09001874923706055,0.12090624868869781,0.1271124929189682,0.3299736976623535,0.11753124743700027,0.1787647008895874,0.13413529098033905,0.1953437477350235,0.2668789327144623,0.009343749843537807
9,0.10206250101327896,0.017893750220537186,0.33618420362472534,0.12480588257312775,0.12102500349283218,0.0,0.07353749871253967,0.21163158118724823,0.12354117631912231,0.2879999876022339,0.08472353219985962,0.15748333930969238,0.1271124929189682,0.34299999475479126,0.11753124743700027,0.22881999611854553,0.274222731590271,0.1953437477350235,0.3057999908924103,0.053958822041749954
10,0.10206250101327896,0.017893750220537186,0.3630479872226715,0.15842777490615845,0.17838889360427856,0.0,0.11268234997987747,0.2370857149362564,0.14872105419635773,0.28146955370903015,0.08472353219985962,0.21050499379634857,0.11963529139757156,0.35124582052230835,0.11753124743700027,0.21792380511760712,0.33222800493240356,0.2148444503545761,0.3057999908924103,0.053958822041749954
11,0.11952777951955795,0.017893750220537186,0.34908461570739746,0.17870526015758514,0.17592380940914154,0.0,0.1311894804239273,0.29719600081443787,0.2216782569885254,0.28146955370903015,0.11377222090959549,0.20550000667572021,0.1468944400548935,0.37105172872543335,0.11399473994970322,0.21792380511760712,0.35825926065444946,0.19336000084877014,0.3350760042667389,0.13056999444961548
12,0.12290000170469284,0.017893750220537186,0.3732900023460388,0.19811904430389404,0.247871994972229,0.023776469752192497,0.12462999671697617,0.2959607243537903,0.2687346041202545,0.3070785701274872,0.1419714242219925,0.25062501430511475,0.15465790033340454,0.3885483741760254,0.11399473994970322,0.23729130625724792,0.3525392711162567,0.18817825615406036,0.3563922941684723,0.1756136417388916
13,0.1311863660812378,0.017893750220537186,0.36787429451942444,0.18802084028720856,0.23833845555782318,0.023776469752192497,0.12462999671697617,0.312446653842926,0.3097969591617584,0.3587588369846344,0.1419714242219925,0.24060000479221344,0.13992856442928314,0.4022882282733917,0.11399473994970322,0.26630398631095886,0.34038275480270386,0.21371667087078094,0.3393586277961731,0.1756136417388916
14,0.13468261063098907,0.01684117689728737,0.3942149877548218,0.19133999943733215,0.25028276443481445,0.023776469752192497,0.12462999671697617,0.31915152072906494,0.30542001128196716,0.38173332810401917,0.1355181783437729,0.2738379240036011,0.16838333010673523,0.4325184226036072,0.1082950010895729,0.2676999866962433,0.3479272723197937,0.24982857704162598,0.3278212249279022,0.1856304407119751
15,0.09680312871932983,0.013843749649822712,0.3960185945034027,0.1446647047996521,0.22224444150924683,0.012631249614059925,0.09296363592147827,0.3204824924468994,0.33407947421073914,0.35208332538604736,0.09741874784231186,0.22059166431427002,0.13053938746452332,0.4088553190231323,0.06768437474966049,0.2613552510738373,0.3126184344291687,0.19986285269260406,0.28431499004364014,0.14173999428749084
16,0.12081818282604218,0.013843749649822712,0.3858799934387207,0.21328946948051453,0.26418718695640564,0.012631249614059925,0.09296363592147827,0.3272547721862793,0.37685349583625793,0.3500511646270752,0.09741874784231186,0.27468249201774597,0.14946764707565308,0.4194285571575165,0.09203636646270752,0.3073902428150177,0.3694113492965698,0.19986285269260406,0.2900048792362213,0.14173999428749084
